"","Customer.ID","City","State","Region","Month","Year","summedSaleByCustomer"
"1","AB-10015","Oklahoma City","Oklahoma","Central",11,2013,563.94
"2","AB-10105","Detroit","Michigan","Central",12,2013,901.762999999999
"3","AB-10255","Los Angeles","California","West",7,2011,19.68
"4","AB-10255","Los Angeles","California","West",7,2014,479.984
"5","AC-10660","San Francisco","California","West",3,2013,84.784
"6","AC-10660","San Francisco","California","West",6,2013,201.584
"7","AD-10180","Philadelphia","Pennsylvania","East",6,2012,51.072
"8","AD-10180","Philadelphia","Pennsylvania","East",11,2011,5.88
"9","AD-10180","Yonkers","New York","East",11,2014,163.96
"10","AF-10870","San Francisco","California","West",12,2012,7.78
"11","AG-10270","Philadelphia","Pennsylvania","East",3,2014,15.008
"12","AG-10300","San Francisco","California","West",9,2014,5.96
"13","AG-10330","Tulsa","Oklahoma","Central",8,2013,248.82
"14","AG-10495","Los Angeles","California","West",10,2013,19.296
"15","AG-10525","Houston","Texas","Central",9,2011,559.71
"16","AG-10675","Houston","Texas","Central",9,2013,1126.435
"17","AG-10765","Philadelphia","Pennsylvania","East",9,2011,5.892
"18","AG-10900","Philadelphia","Pennsylvania","East",12,2012,6.912
"19","AG-10900","Tucson","Arizona","West",7,2011,1398.203
"20","AH-10030","San Francisco","California","West",12,2012,991.26
"21","AH-10075","Arlington","Texas","Central",12,2013,217.44
"22","AH-10075","Knoxville","Tennessee","South",5,2014,342.24
"23","AH-10120","Louisville","Kentucky","South",8,2014,201.09
"24","AH-10690","Detroit","Michigan","Central",12,2012,116.4
"25","AH-10690","Springfield","Virginia","South",5,2013,1865.626
"26","AI-10855","Los Angeles","California","West",11,2013,1467.134
"27","AI-10855","San Francisco","California","West",4,2011,901.762999999999
"28","AP-10915","Los Angeles","California","West",4,2014,183.61
"29","AP-10915","Seattle","Washington","West",12,2013,342.812
"30","AR-10345","Lawrence","Massachusetts","East",9,2014,14.88
"31","AS-10135","Auburn","Washington","West",11,2013,4.8438
"32","AS-10240","Cleveland","Ohio","East",6,2014,59.176
"33","AS-10240","Springfield","Virginia","South",3,2012,5.56
"34","AS-10285","Dallas","Texas","Central",5,2013,87.4998
"35","AS-10630","Philadelphia","Pennsylvania","East",8,2011,5.68
"36","AS-10630","San Francisco","California","West",9,2012,135.936
"37","AT-10735","Nashville","Tennessee","South",11,2011,148.6998
"38","AT-10735","Seattle","Washington","West",5,2014,97.16
"39","AW-10840","Philadelphia","Pennsylvania","East",12,2014,321.248
"40","AW-10930","Oklahoma City","Oklahoma","Central",11,2013,901.762999999999
"41","BB-10990","Los Angeles","California","West",7,2011,276.28
"42","BD-11620","Wilmington","North Carolina","South",6,2011,310.688
"43","BE-11410","Aurora","Illinois","Central",2,2014,268.576
"44","BE-11455","Cleveland","Ohio","East",4,2014,979.626
"45","BF-10975","Columbus","Indiana","Central",11,2013,328.54
"46","BF-11215","Dallas","Texas","Central",10,2014,55.616
"47","BF-11275","Columbus","Georgia","South",7,2014,41.91
"48","BG-11035","Nashville","Tennessee","South",9,2012,1196.131
"49","BM-11575","Chicago","Illinois","Central",4,2014,195.136
"50","BM-11785","Seattle","Washington","West",4,2013,28.8
"51","BN-11515","Los Angeles","California","West",12,2014,12.51
"52","BN-11515","Seattle","Washington","West",9,2011,260.79
"53","BP-11050","Chicago","Illinois","Central",12,2013,4.8438
"54","BP-11185","Philadelphia","Pennsylvania","East",2,2013,109.4238
"55","BP-11185","Philadelphia","Pennsylvania","East",8,2014,914.434999999999
"56","BP-11230","Los Angeles","California","West",4,2011,59.92
"57","BS-11590","Philadelphia","Pennsylvania","East",2,2011,61.96
"58","BS-11755","Los Angeles","California","West",10,2012,120.666
"59","BT-11305","Seattle","Washington","West",9,2012,197.916
"60","BT-11395","San Francisco","California","West",5,2013,9.584
"61","BT-11680","Houston","Texas","Central",10,2012,4.8438
"62","BT-11680","Houston","Texas","Central",11,2011,901.762999999999
"63","BT-11680","Newark","Ohio","East",11,2014,82.4438
"64","BW-11110","Milwaukee","Wisconsin","Central",3,2012,51.84
"65","CA-11965","Los Angeles","California","West",4,2012,892.224
"66","CA-12055","Los Angeles","California","West",8,2013,1016.184
"67","CA-12265","Wilmington","Delaware","East",9,2014,391.98
"68","CA-12310","Anaheim","California","West",12,2014,495.3
"69","CA-12310","Cincinnati","Ohio","East",12,2014,94.784
